tier,nation,vehicletype,vehiclename,map,exp,playername,link,setdate
7,アメリカ,駆逐戦車,M56 Scorpion,崖,1278,Kyasya_Neko,https://youtu.be/DmPBxJ62vgw,2017/1/20
4,アメリカ,駆逐戦車,M8A1,炎の最前線,1191,Kyasha_Neko,https://youtu.be/EBlzg5N7CjQ,2017/1/2
7,ソ連,自走砲,S-51,崖,1126,kyuberei,https://youtu.be/eKA48ei_ls8,2017/2/3
9,ドイツ,駆逐戦車,Waffentrager auf Pz.IV,マリノフカ,1313,Tg_1943,https://youtu.be/ALiLXaQSnHA,2017/1/30
8,ドイツ,駆逐戦車,Jagdpanther II,湿地,1219,yasuda_0326,https://youtu.be/X9R-lyGAAZU,2017/1/29
8,アメリカ,中戦車,T69,ヒメルズドルフ,1232,ho_dream_pe,https://youtu.be/wi9kArrwXMw,2017/1/24
8,ソ連,重戦車,IS-3,エンスク,1643,yasuda_0326,https://youtu.be/LVTZ0a4Ln-o,2017/1/21
5,スウェーデン,駆逐戦車,Ikv103,湿地,991,yasuda_0326,https://youtu.be/gdH1b3gypMQ,2017/1/6
